location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr throughput_down throughput_up delayCon delay pdr 
Broadway ram 42.33027733 -71.08319279 1433368619000 5.25 3G -83.0 0.0 -1 -1 2147483647 0.10608480729665844 0.0 1896.0 185.0 90.0
Broadway ram 42.3305119 -71.08321783 1433368624000 5.5 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33069698 -71.08306948 1433368628000 5.5 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33089824 -71.08282318 1433368632000 7.25 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33106578 -71.0826415 1433368635000 7.75 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33123929 -71.08247783 1433368638000 7.75 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33141953 -71.08228029 1433368641000 8.25 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33160539 -71.08206326 1433368644000 8.25 3G -85.5 0.7500000000000001 -1 -1 2147483647 0.1105738467857486 0.0 1778.0 673.0 100.0
Broadway ram 42.33179922 -71.08184735 1433368647000 8.5 3G -90.5 0.75 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33194776 -71.08165849 1433368650000 7.5 3G -91.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33213587 -71.08150594 1433368653000 7.75 3G -90.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33233119 -71.08137106 1433368656000 7.0 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33251264 -71.08125205 1433368659000 7.5 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33271486 -71.08115656 1433368662000 7.5 3G -85.66666666666667 0.8888888888888888 -1 -1 2147483647 0.1061891906552107 0.0 622.0 561.0 100.0
Broadway ram 42.33291031 -71.08115196 1433368670000 2.75 3G -85.5 0.7500000000000001 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33308929 -71.08136889 1433368674000 6.25 3G -85.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33321157 -71.0815796 1433368679000 3.0 3G -83.0 8.0 -1 -1 2147483647 0.11706266890431785 0.0 4538.0 186.0 100.0
Broadway ram 42.3333475 -71.08178517 1433368701000 4.0 3G -74.33333333333333 2.222222222222222 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33344504 -71.08202014 1433368704000 6.0 3G -77.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33357731 -71.08227057 1433368708000 5.75 3G -77.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33365738 -71.08249343 1433368715000 2.0 3G -75.0 0.0 -1 -1 2147483647 0.11873701668268305 0.0 2002.0 169.0 100.0
Broadway ram 42.33383256 -71.08271166 1433368728000 5.5 3G -70.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33400854 -71.0829217 1433368732000 7.0 3G -72.33333333333333 3.555555555555555 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33414213 -71.08309678 1433368734000 8.75 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33430899 -71.08336041 1433368737000 9.0 3G -86.33333333333333 16.88888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33444414 -71.08360573 1433368739000 9.75 3G -95.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3345202 -71.08387877 1433368741000 9.75 3G -97.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33462842 -71.08407406 1433368743000 9.75 3G -97.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33476235 -71.08431278 1433368746000 8.5 3G -96.33333333333333 0.888888888888889 -1 -1 2147483647 0.11767536197022202 0.0 1728.0 507.0 100.0
Broadway ram 42.33481341 -71.08455374 1433368757000 3.75 3G -94.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33496351 -71.08483395 1433368761000 6.25 3G -95.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33505293 -71.08509265 1433368764000 7.5 3G -95.66666666666667 0.8888888888888887 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33515069 -71.08545778 1433368767000 9.0 3G -97.66666666666667 0.8888888888888888 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33523373 -71.08577854 1433368770000 8.75 3G -92.33333333333333 6.222222222222221 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33530843 -71.08600262 1433368772000 8.75 3G -84.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33541776 -71.08626254 1433368775000 8.5 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33550848 -71.08647578 1433368777000 9.0 3G -79.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.335623 -71.08678724 1433368780000 9.25 3G -73.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33573719 -71.08706347 1433368783000 9.0 3G -69.0 0.0 -1 -1 2147483647 0.09219210188184745 0.0 5208.0 166.0 70.0
Broadway ram 42.33589063 -71.08723352 1433368786000 8.5 3G -69.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33602366 -71.08742254 1433368789000 7.5 3G -67.4 3.84 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33612028 -71.08764145 1433368792000 6.25 3G -69.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33628557 -71.08776123 1433368806000 2.5 3G -79.9090909090909 10.446280991735538 -1 -1 2147483647 0.11770103006095607 0.0 867.0 590.0 100.0
Broadway ram 42.33644389 -71.08793839 1433368812000 3.75 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33657672 -71.08816726 1433368817000 4.25 3G -83.5 0.7500000000000001 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33657413 -71.08842752 1433368822000 4.25 3G -92.0 5.0 -1 -1 2147483647 0.11735545287395675 0.0 2142.0 -1.0 -1.0
