location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr 
samsung ram 42.3394846 -71.09037976 1434571637000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948449 -71.09037977 1434571638000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948443 -71.09037978 1434571639000 0.0 3G -83.0 0.0 -1 -1 2147483647
samsung ram 42.33948436 -71.09037974 1434571640000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948441 -71.09037966 1434571641000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948422 -71.09037965 1434571642000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948425 -71.0903796 1434571643000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948428 -71.09037956 1434571644000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948423 -71.09037957 1434571645000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948402 -71.09037962 1434571646000 0.0 3G -83.0 0.0 -1 -1 2147483647
samsung ram 42.33948385 -71.09037967 1434571647000 0.0 3G -85.0 0.0 -1 -1 2147483647
samsung ram 42.33948358 -71.09037981 1434571648000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948332 -71.09037996 1434571649000 0.0 3G -85.0 0.0 -1 -1 2147483647
samsung ram 42.33948316 -71.09038006 1434571650000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948291 -71.0903802 1434571651000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948275 -71.09038028 1434571652000 0.0 3G -87.0 0.0 -1 -1 2147483647
samsung ram 42.33948255 -71.09038033 1434571653000 0.0 3G -87.0 0.0 -1 -1 2147483647
samsung ram 42.33948234 -71.09038048 1434571654000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394822 -71.09038057 1434571655000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948192 -71.09038069 1434571656000 0.0 3G -85.0 0.0 -1 -1 2147483647
samsung ram 42.33948191 -71.09038068 1434571657000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394819 -71.09038069 1434571658000 0.0 3G -85.0 0.0 -1 -1 2147483647
samsung ram 42.3394819 -71.09038069 1434571659000 0.0 3G -85.0 0.0 -1 -1 2147483647
samsung ram 42.33948186 -71.09038071 1434571660000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394818 -71.09038075 1434571661000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948182 -71.09038078 1434571662000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394817 -71.09038086 1434571663000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394815 -71.09038091 1434571664000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948132 -71.09038098 1434571665000 0.0 3G -81.0 0.0 -1 -1 2147483647
